# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1876
#@/user_id	b27ec516-66b5-4d3a-8381-90fbb5a546e0
a1 	啊	c=1 d=1.16141 t=1786
yi1 qi3 	一起	c=1 d=0.346541 t=1806
yi1 qi3 ba3 zhe4 ge5 kan4 wan2 	一起把這個看完	c=1 d=1 t=1807
yi1 qi3 chi1 fan4 ma5 	一起吃飯嗎	c=1 d=1 t=296
yi1 qi3 tao3 lun4 	一起討論	c=1 d=1 t=148
yi1 tang2 ke4 	一堂課	c=0 d=0.1 t=717
yi1 tian1 	一天	c=0 d=0.1 t=181
yi1 tian1 he2 shang4 zhuang4 yi1 tian1 zhong1 	一天和尚撞一天鐘	c=1 d=1 t=182
yi1 xia4 	一下	c=1 d=1.09989 t=1865
yi1 xie1 	一些	c=1 d=0.111054 t=1696
yi1 xie1 o1 	一些噢	c=1 d=1 t=1697
yi1 ze2 yi3 xi3 	一則以喜	c=1 d=1 t=109
yi1 ze2 yi3 you1 	一則以憂	c=0 d=0.1 t=109
yi1 ze2 yi3 you1 a1 	一則以憂阿	c=1 d=1 t=110
yi1 zhao4 	依照	c=1 d=1 t=1606
yi1 zhi2 	一直	c=1 d=0.271095 t=1595
yi1 zhi2 gei3 	一直給	c=1 d=1 t=722
yi2 	宜	c=0 d=0.1 t=1674
yi3 	以	c=2 d=1.05502 t=670
yi3 hou4 	以後	c=1 d=1 t=1315
yi3 ji2 	以及	c=1 d=1 t=1536
yi3 jing1 	已經	c=0 d=0.100291 t=1824
yi3 jing1 hen3 	已經很	c=0 d=0.1 t=1661
yi3 jing1 mei2 you3 xu4 dian4 gong1 neng2 de5 yi4 si1 ma5 	已經沒有蓄電功能的意思嗎	c=1 d=1 t=1825
yi3 jing1 xi2 guan4 le5 	已經習慣了	c=1 d=1 t=187
yi3 qian2 	以前	c=0 d=0.1 t=746
yi3 qu4 	已去	c=0 d=0.1 t=88
yi3 wei2 	以爲	c=0 d=0.100328 t=1374
yi4 	意	c=0 d=0.137908 t=353
yi4 da4 li4 mian4 	意大利麪	c=2 d=1.99005 t=351
yi4 jian4 	意見	c=1 d=1 t=234
yi4 si1 	意思	c=1 d=0.114052 t=1224
yi4 si1 ma5 	意思嗎	c=1 d=0.10038 t=1824
yin1 ci3 	因此	c=1 d=1 t=1695
yin1 wei4 	因爲	c=3 d=1.41321 t=1826
yin1 wei4 jin1 tian1 	因爲今天	c=1 d=1 t=511
yin1 wei4 ta1 men5 	因爲他們	c=1 d=1 t=711
yin1 wei4 wo3 shi4 jing1 ji4 xi4 de5 	因爲我是經濟系的	c=1 d=1 t=807
yin1 wei4 you3 	因爲有	c=1 d=1 t=1293
yin1 yue4 	音樂	c=0 d=0.1 t=1604
ying1 	英	c=1 d=0.909373 t=1876
ying1 gai1 	應該	c=3 d=0.951229 t=1876
ying1 gai1 bi3 jiao4 shun4 	應該比較順	c=1 d=1 t=1386
ying1 gai1 bu4 ke3 neng2 	應該不可能	c=1 d=1 t=43
ying1 gai1 hui4 	應該會	c=0 d=0.102204 t=1710
ying1 gai1 jiu4 shi4 	應該就是	c=1 d=1 t=576
ying1 gai1 man2 hao3 xiao4 de5 	應該蠻好笑得	c=1 d=1 t=549
ying1 gai1 shi4 	應該是	c=1 d=1.00437 t=1013
ying1 gai1 shi4 zhe4 ge5 	應該是這個	c=1 d=1 t=388
ying1 gai1 ye3 yao4 chong2 xie3 chu1 lai2 	應該也要重寫出來	c=1 d=1 t=1096
ying1 ge1 	鶯歌	c=0 d=0.293124 t=329
ying1 ge1 dao4 xin1 zhu2 	鶯歌到新竹	c=1 d=1 t=322
ying1 ge1 dao4 zhu2 bei3 	鶯歌到竹北	c=1 d=1 t=330
ying1 wen2 	英文	c=4 d=2.03314 t=1672
ying1 yu3 	英語	c=1 d=0.900325 t=1876
ying2 mu4 	熒幕	c=0 d=0.1 t=1072
ying2 mu4 	螢幕	c=1 d=1.02478 t=1799
ying2 mu4 jie2 tu2 	熒幕截圖	c=1 d=1 t=1073
ying3 pian4 	影片	c=2 d=1.02862 t=757
ying4 die2 	硬碟	c=1 d=1 t=1857
ying4 jie4 	應借	c=1 d=1 t=883
ying4 jie4 	應屆	c=1 d=1 t=885
yong4 	用	c=5 d=0.7469 t=1632
yong4 dian4 nao3 	用電腦	c=1 d=1.09277 t=1613
yong4 dian4 nao3 lai2 zuo4 	用電腦來做	c=1 d=1 t=1599
yong4 zhe4 ge5 ruan3 ti3 	用這個軟體	c=1 d=1 t=1056
you3 	有	c=5 d=0.785255 t=1365
you3 a1 	有啊	c=2 d=1.00117 t=1579
you3 ba3 wo4 	有把握	c=0 d=0.1 t=1214
you3 ban4 fa3 	有辦法	c=1 d=1 t=127
you3 dian3 xiang4 	有點像	c=1 d=1 t=264
you3 ei1 	有欸	c=1 d=1 t=1550
you3 gen1 	有跟	c=1 d=1 t=1286
you3 guan1 	有關	c=1 d=0.101288 t=1461
you3 huo4 zhe3 	有或者	c=1 d=1 t=1173
you3 ke3 neng2 	有可能	c=1 d=1 t=1387
you3 kong4 	有空	c=0 d=0.1 t=432
you3 lao3 shi1 dai4 wo3 	有老師帶我	c=1 d=1 t=786
you3 lu4 qu3 	有錄取	c=1 d=1 t=113
you3 lu4 qu3 shang4 	有錄取上	c=1 d=1 t=34
you3 mei2 you3 	有沒有	c=3 d=1.0832 t=1850
you3 mei2 you3 ban4 fa3 	有沒有辦法	c=2 d=1.07966 t=1845
you3 mei2 you3 ji1 hui4 	有沒有機會	c=1 d=1 t=954
you3 mei2 you3 kong4 	有沒有空	c=1 d=1 t=299
you3 na3 jia1 	有哪家	c=1 d=1 t=1366
you3 qu4 	有趣	c=0 d=0.1 t=961
you3 shen2 me5 	有什麼	c=1 d=0.103231 t=1775
you3 shi4 	有事	c=0 d=0.1 t=361
you3 tong2 xue2 	有同學	c=1 d=1 t=702
you3 xie1 	有些	c=0 d=0.1 t=1817
you3 xie1 wen4 ti2 	有些問題	c=1 d=1 t=1818
you3 xing4 qu4 	有興趣	c=0 d=0.172979 t=909
you3 xu4 	有序	c=1 d=1 t=1309
you3 yi1 ban1 gong1 che1 ke3 yi3 dao4 	有一班公車可以到	c=1 d=1 t=992
you3 you3 	有有	c=2 d=1.81465 t=1586
you4 	又	c=1 d=0.321802 t=1541
you4 bu2 zai4 le5 	又不在了	c=1 d=1 t=1542
you4 ke3 	又可	c=0 d=0.1 t=382
you4 qu4 	又去	c=0 d=0.1 t=1861
you4 qu4 que4 ren4 le5 yi1 xia4 	又去卻認了一下	c=1 d=1 t=1862
you4 xiu1 hao3 le5 	又修好了	c=1 d=1 t=1447
yu2 di4 	餘地	c=0 d=0.1 t=176
yu3 	與	c=1 d=1 t=851
yu3 yan2 	語言	c=1 d=1 t=1810
yu4 bao4 	預報	c=1 d=1 t=552
yu4 dao4 	遇到	c=0 d=0.1 t=165
yu4 yue1 	預約	c=0 d=0.1 t=459
yuan2 chang3 	原廠	c=0 d=0.1 t=1829
yuan2 chang3 dian4 chi2 	原廠電池	c=1 d=1 t=1830
yuan2 lai2 	原來	c=0 d=0.1 t=600
yuan2 lai2 hui4 o1 	原來會噢	c=1 d=1 t=601
yuan4 yi4 	願意	c=0 d=0.1 t=77
yue1 	約	c=1 d=0.142214 t=855
yue1 zai4 	約在	c=0 d=0.1 t=1669
yue1 zai4 na3 li3 ne5 	約在哪裏呢	c=1 d=1 t=1670
yun4 guo4 qu4 	暈過去	c=0 d=0.1 t=1357
zai4 	再	c=1 d=1 t=1074
zai4 	在	c=8 d=0.250771 t=1876
zai4 	載	c=1 d=1 t=1237
zai4 fa1 	再發	c=0 d=0.1 t=1327
zai4 fa1 yi1 feng1 xin4 	再發一封信	c=1 d=1 t=1328
zai4 jie3 jue2 	在解決	c=1 d=1 t=1037
zai4 jin1 tian1 	在今天	c=1 d=1 t=496
zai4 na3 li3 ji2 he2 ne5 	在哪裏集合呢	c=1 d=1 t=428
zai4 na4 	在那	c=0 d=0.1 t=1370
zai4 ni3 	載你	c=1 d=0.332236 t=1261
zai4 shuo1 	再說	c=1 d=1 t=693
zai4 wen4 	再問	c=0 d=0.1 t=702
zai4 wen4 shuo1 	再問說	c=1 d=1 t=703
zai4 wo3 	在我	c=0 d=0.1 t=1376
zai4 wo3 che1 shang4 ha1 ha1 	在我車上哈哈	c=1 d=1 t=1377
zai4 xiang3 	再想	c=0 d=0.1 t=1254
zai4 xiang3 	在想	c=0 d=0.1 t=257
zai4 xiang3 shuo1 	在想說	c=1 d=0.327638 t=1127
zai4 xiang3 xiang3 	再想想	c=1 d=1 t=1255
zai4 yi1 qi3 	在一起	c=0 d=0.1 t=417
zai4 zhe4 zhong3 biao3 yan3 	在這種表演	c=1 d=1 t=180
zao3 	早	c=0 d=0.1 t=464
zao3 an1 	早安	c=1 d=1 t=1118
zao3 dian3 	早點	c=0 d=0.0932394 t=1876
zao3 shang4 	早上	c=4 d=1.24106 t=1666
zao3 shang4 jiu3 dian3 	早上九點	c=1 d=1 t=465
zen3 me5 	怎麽	c=0 d=0.105054 t=1576
zen3 me5 hui4 	怎麼會	c=2 d=1.17291 t=822
zen3 me5 qi2 ji1 che1 guo4 qu4 	怎麽騎機車過去	c=1 d=1 t=980
zen3 me5 qu4 	怎麼去	c=0 d=0.1 t=964
zen3 me5 xia4 zai3 	怎麽下載	c=1 d=1 t=1577
zen3 me5 yang4 	怎麼樣	c=3 d=0.345107 t=1621
zen3 me5 yang4 ne5 	怎麼樣呢	c=1 d=1 t=213
zen3 me5 yong4 	怎麼用	c=1 d=1 t=1341
zen3 me5 zou3 	怎麼走	c=0 d=0.1 t=517
zen3 yang4 	怎樣	c=0 d=0.199501 t=673
zen3 yang4 la5 ha1 ha1 	怎樣啦哈哈	c=1 d=1 t=673
zhan4 	佔	c=1 d=1 t=1705
zhang1 ying2 	張瑩	c=1 d=1 t=317
zhao3 	找	c=1 d=1 t=699
zhao3 dao4 	找到	c=0 d=0.1 t=1149
zhao3 ni3 	找你	c=0 d=0.1 t=726
zhao3 zhao3 kan4 	找找看	c=0 d=0.144043 t=1712
zhao4 pian4 	照片	c=0 d=0.190937 t=1850
zhao4 pian4 shang4 	照片上	c=1 d=1 t=1832
zhe4 	這	c=0 d=0.169409 t=1876
zhe4 dao4 di3 	這到底	c=1 d=1 t=1876
zhe4 duan4 	這段	c=0 d=0.198511 t=762
zhe4 duan4 qi2 jian1 	這段期間	c=1 d=1 t=763
zhe4 duan4 qi2 jian1 ye3 shi4 man2 	這段期間也是蠻	c=1 d=1 t=760
zhe4 ge5 	這個	c=2 d=1.54974 t=1837
zhe4 ge5 dong1 xi1 	這個東西	c=1 d=1 t=1060
zhe4 ge5 ren2 	這個人	c=1 d=1 t=1035
zhe4 hen3 bo2 yi4 	這很博弈	c=1 d=1 t=413
zhe4 ji3 ci4 	這幾次	c=1 d=1 t=141
zhe4 ji3 tian1 	這幾天	c=0 d=0.1 t=356
zhe4 jian4 shi4 	這件事	c=0 d=0.1 t=509
zhe4 li3 	這裏	c=0 d=0.190521 t=1232
zhe4 li3 bai4 liu4 	這禮拜六	c=1 d=1 t=1346
zhe4 li3 mian4 de5 xiong2 	這裏面的熊	c=1 d=1 t=1146
zhe4 liang3 	這兩	c=0 d=0.1 t=1044
zhe4 liang3 ge5 zhi3 ling4 	這兩個指令	c=1 d=1 t=1045
zhe4 me5 	這麼	c=0 d=0.255864 t=371
zhe4 me5 qiang2 	這麼強	c=1 d=1 t=196
zhe4 me5 wan3 cai2 tong1 zhi1 	這麼晚才通知	c=1 d=1 t=372
zhe4 me5 yuan4 yi4 bang1 wo3 	這麼願意幫我	c=1 d=1 t=78
zhe4 mo2 can3 	這麼慘	c=1 d=1 t=472
zhe4 shi4 	這是	c=0 d=0.106289 t=1713
zhe4 shi4 gong1 cheng2 shi1 	這是工程師	c=1 d=1 t=1714
zhe4 shi4 wo3 	這是我	c=0 d=0.1 t=24
zhe4 shi4 wo3 ming2 tian1 xiang3 yao4 ba3 	這是我明天想要把	c=1 d=1 t=25
zhe4 shi4 wo3 nv3 peng2 you3 de5 lian3 shu1 	這是我女朋友的臉書	c=1 d=1 t=1156
zhe4 shi4 zai4 chong1 san1 xiao3 	這是在衝三小	c=1 d=1 t=410
zhe4 tai2 	這臺	c=0 d=0.1 t=1519
zhe4 tai2 bi3 dian4 	這臺筆電	c=2 d=1.97531 t=1525
zhe4 wei4 	這位	c=1 d=1.07531 t=946
zhe4 wei4 tong2 xue2 le5 	這位同學了	c=1 d=1 t=947
zhe4 wo3 jiu4 bu4 zhi1 dao4 le5 ei1 	這我就不知道了欸	c=1 d=1 t=600
zhe4 wo3 ke3 neng2 	這我可能	c=1 d=1 t=603
zhe4 wo3 wan2 quan2 mei2 you3 ban4 fa3 	這我完全沒有辦法	c=1 d=1 t=1765
zhe4 yang4 	這樣	c=1 d=0.179376 t=1773
zhe4 yao4 zen3 me5 	這要怎麼	c=1 d=1 t=1501
zhe4 yi1 	這一	c=0 d=0.100104 t=1629
zhe4 yi1 ci4 	這一次	c=0 d=0.1 t=164
zhe4 yi1 ci4 cai2 	這一次才	c=1 d=1 t=165
zhe4 yi1 dian3 	這一點	c=0 d=0.1 t=237
zhe4 yi1 ge5 	這一個	c=1 d=1 t=1630
zhe4 yi1 kuai4 	這一塊	c=1 d=1 t=257
zhe4 yi1 kuan3 	這一款	c=1 d=1 t=1855
zhe4 zhi1 	這隻	c=0 d=0.1 t=29
zhe4 zhi1 ying3 pian4 	這隻影片	c=1 d=1 t=30
zhe4 zhong3 	這種	c=1 d=0.101037 t=1616
zhen1 de5 	真的	c=0 d=0.111533 t=528
zhen1 de5 hen3 	真的很	c=0 d=0.123108 t=369
zhen1 de5 hen3 bu4 hao3 yao4 san1 	真的很不好要三	c=1 d=1 t=370
zhen1 de5 hen3 gan3 xie4 ni3 	真的很感謝你	c=1 d=1 t=77
zhen1 shi4 tai4 	真是太	c=0 d=0.1 t=234
zhen1 shi4 tai4 qiang2 le5 	真是太強了	c=1 d=1 t=235
zhen1 xiang4 	真相	c=0 d=0.1 t=1746
zheng1 yi4 	爭議	c=1 d=1 t=1271
zheng1 zha2 	掙扎	c=0 d=0.1 t=116
zheng3 ge5 	整個	c=1 d=1 t=1087
zheng3 li3 	整理	c=0 d=0.1 t=1604
zheng3 li3 ni3 de5 yin1 yue4 	整理你的音樂	c=1 d=1 t=1605
zheng4 mian4 	正面	c=0 d=0.1 t=1740
zheng4 tong3 	正統	c=1 d=1 t=812
zheng4 zai4 	正在	c=0 d=0.1 t=1550
zhi1 	隻	c=0 d=0.1 t=25
zhi1 bao4 	隻爆	c=1 d=1 t=919
zhi1 dao4 	知道	c=1 d=1.01333 t=920
zhi1 dao4 le5 	知道了	c=0 d=0.1 t=599
zhi1 hou4 	之後	c=4 d=0.135595 t=1768
zhi1 hou4 wo3 jiu4 yao4 	之後我就要	c=1 d=1 t=303
zhi1 jian1 	之間	c=0 d=0.1 t=345
zhi1 jian1 hui4 qu4 ji1 long2 ba5 	之間會去基隆吧	c=1 d=1 t=346
zhi1 lei4 	之類	c=0 d=0.13371 t=815
zhi1 lei4 de5 	之類的	c=3 d=0.485866 t=1807
zhi1 lei4 de5 gai4 nian4 ma5 	之類的概念嗎	c=1 d=1 t=578
zhi1 lei4 de5 zi1 xun4 	之類的資訊	c=1 d=1 t=133
zhi1 qian2 	之前	c=4 d=1.51968 t=1080
zhi1 qian2 dang1 	之前當	c=1 d=1 t=167
zhi1 shi4 	知識	c=1 d=1.07558 t=263
zhi1 xing2 	之行	c=1 d=1 t=226
zhi2 	值	c=0 d=0.198511 t=278
zhi2 da2 	直達	c=0 d=0.1 t=1356
zhi2 da2 de5 huo3 che1 	直達的火車	c=1 d=1 t=1357
zhi2 jie1 	直接	c=1 d=1.02254 t=1026
zhi2 jie1 han4 wo3 shuo1 	直接和我說	c=1 d=1 t=729
zhi2 xing2 	執行	c=2 d=2.26812 t=1498
zhi2 xing2 de5 dong1 xi1 	執行的東西	c=1 d=1 t=1499
zhi2 xing2 de5 nei4 rong2 	執行的內容	c=1 d=1 t=1479
zhi2 xing2 wo3 de5 	執行我的	c=1 d=1 t=1471
zhi3 ling4 	指令	c=1 d=1.00531 t=1631
zhi3 neng2 	只能	c=0 d=0.1 t=300
zhi3 shi4 	只是	c=3 d=1.14581 t=1775
zhi3 shi4 dou1 hai2 mei2 zuo4 	只是都還沒做	c=1 d=1 t=1097
zhi3 shi4 wo3 jue2 de5 ta1 men5 ye3 	只是我覺得他們也	c=1 d=1 t=38
zhi3 yao4 	只要	c=1 d=1 t=1040
zhi3 you3 	只有	c=2 d=1.00107 t=1639
zhi3 you3 ke4 ben3 shang4 de5 gai4 nian4 ha1 ha1 	只有課本上的概念哈哈	c=1 d=1 t=606
zhi4 shao3 	至少	c=0 d=0.1 t=1413
zhi4 zhang4 	智障	c=0 d=0.100252 t=1608
zhong1 	中	c=1 d=1.00002 t=1755
zhong1 tang2 	中堂	c=0 d=0.1 t=209
zhong1 tang2 xia4 ke4 zhi1 hou4 	中堂下課之後	c=1 d=1 t=210
zhong1 wen2 	中文	c=2 d=1.05586 t=1686
zhong1 yang1 	中央	c=0 d=0.1 t=886
zhong1 yang1 zi1 gong1 	中央資工	c=1 d=1 t=887
zhong1 ying1 	中英	c=0 d=0.1 t=1875
zhong1 ying1 qie1 huan4 	中英切換	c=1 d=1 t=1876
zhong4 zai4 	重在	c=0 d=0.1 t=264
zhou1 zhuan3 lv4 	週轉率	c=0 d=0.27318 t=594
zhou1 zhuan3 lv4 ma5 	週轉率嗎	c=1 d=1 t=557
zhu2 bei3 	竹北	c=1 d=1.16749 t=329
zhu2 bei3 dao4 ying1 ge1 	竹北到鶯歌	c=3 d=2.92688 t=336
zhu2 gang4 	竹槓	c=0 d=0.1 t=1246
zhu3 dong4 	主動	c=0 d=0.1 t=63
zhu3 dong4 da3 dian4 hua4 guo4 lai2 	主動打電話過來	c=1 d=1 t=64
zhu3 yao4 shi4 	主要是	c=0 d=0.1 t=118
zhu4 jiao4 	助教	c=1 d=0.48868 t=358
zhu4 tie3 	鑄鐵	c=1 d=1 t=1508
zhu4 zai4 	住在	c=1 d=1 t=988
zhua1 xia4 lai2 	抓下來	c=0 d=0.1 t=1129
zhuan1 xin1 	專心	c=1 d=1 t=698
zhuan1 zhu4 	專注	c=0 d=0.0960789 t=1876
zhuan3 	轉	c=4 d=3.55003 t=878
zhuan3 cheng2 	轉成	c=1 d=1 t=1075
zhuan3 dao4 	轉到	c=2 d=1.31822 t=1458
zhuan3 gei3 	轉給	c=0 d=0.1 t=540
zhuan3 gei3 tian1 ying1 	轉給天英	c=1 d=1 t=541
zhuan3 xi4 	轉系	c=1 d=1 t=525
zhuan3 xue2 	轉學	c=1 d=1.04098 t=880
zhuan3 zi1 gong1 	轉資工	c=1 d=1 t=879
zhuang1 	裝	c=0 d=0.1 t=1550
zhuang4 yi1 tian1 zhong1 	撞一天鐘	c=0 d=0.1 t=181
zhun3 bei4 	準備	c=0 d=0.1 t=252
zhun3 shi2 dao4 	準時到	c=0 d=0.1 t=1710
zhuo2 zhong4 	着重	c=1 d=1 t=267
zi1 gong1 	資工	c=6 d=1.06456 t=1782
zi1 gong1 de5 	資工的	c=1 d=0.391674 t=1158
zi1 gong1 de5 guo4 cheng2 ma5 	資工的過程嗎	c=1 d=1 t=828
zi1 gong1 luo1 	資工囉	c=1 d=1 t=1230
zi1 gong1 tong2 xue2 tao3 lun4 	資工同學討論	c=1 d=1 t=1740
zi1 gong1 xi4 	資工系	c=1 d=1 t=608
zi1 gong1 you3 xing4 qu4 	資工有興趣	c=1 d=1 t=847
zi1 xun2 	諮詢	c=0 d=0.1 t=1152
zi1 xun2 zi1 gong1 de5 dui4 xiang4 	諮詢資工的對象	c=1 d=1 t=1153
zi1 xun4 	資訊	c=1 d=1.00061 t=1152
zi4 dong4 hua4 	自動化	c=1 d=1 t=817
zi4 ji3 	自己	c=7 d=0.970446 t=1876
zi4 xue2 	自學	c=0 d=0.1 t=748
zong3 	總	c=0 d=0.1 t=1707
zong3 guan3 	總管	c=1 d=1 t=977
zong3 jue2 de5 	總覺得	c=1 d=1 t=1708
zui4 	最	c=1 d=1.00122 t=999
zui4 hou4 	最後	c=0 d=0.105698 t=717
zui4 hou4 dou1 hui4 	最後都會	c=1 d=1 t=145
zui4 hou4 yi1 tang2 ke4 	最後一堂課	c=1 d=1 t=718
zui4 hou4 yi1 tian1 	最後一天	c=0 d=0.1 t=511
zui4 jin4 	最近	c=0 d=0.100586 t=1127
zui4 jin4 gang1 kai1 de5 	最近剛開得	c=1 d=1 t=100
zui4 jin4 zai4 xiang3 shuo1 yao4 bu2 yao4 xie3 ge5 ruan3 ti3 	最近在想說要不要寫個軟體	c=1 d=1 t=1128
zui4 qiang2 	最強	c=0 d=0.1 t=554
zui4 wan3 	最晚	c=0 d=0.1 t=515
zui4 wan3 shen2 me5 shi2 hou4 zhi1 qian2 hai2 ke3 yi3 tui4 fei4 	最晚什麼時候之前還可以退費	c=1 d=1 t=516
zui4 zhu3 yao4 shi4 	最主要是	c=1 d=1 t=119
zuo2 tian1 	昨天	c=1 d=0.168169 t=1683
zuo2 tian1 hao3 xiang4 	昨天好像	c=1 d=1 t=385
zuo2 tian1 shuo1 de5 	昨天說的	c=1 d=1 t=1158
zuo2 tian1 wan3 shang4 	昨天晚上	c=1 d=1 t=1274
zuo4 	做	c=2 d=0.226418 t=1595
zuo4 cheng2 	做成	c=0 d=0.1 t=1130
zuo4 chu1 lai2 	做出來	c=1 d=1 t=1624
zuo4 de5 	做的	c=0 d=0.0970446 t=1876
zuo4 de5 chao1 hao3 de5 	做的超好的	c=1 d=1 t=1270
zuo4 le5 	做了	c=0 d=0.1 t=1322
zuo4 le5 duo1 yuan2 	做了多元	c=1 d=1 t=1323
zuo4 ren2 	做人	c=1 d=1 t=677
zuo4 ye4 	作業	c=0 d=0.1 t=1312
